"Month","CommitsPerMonth"
"04-2008","30"
"05-2008","30"
"06-2008","9"
"07-2008","9"
"08-2008","55"
"09-2008","22"
"10-2008","37"
"11-2008","21"
"12-2008","5"
"01-2009","23"
"02-2009","75"
"03-2009","32"
"04-2009","26"
"05-2009","18"
"06-2009","85"
"07-2009","43"
"08-2009","40"
"09-2009","31"
"10-2009","79"
"11-2009","101"
"12-2009","66"
"01-2010","92"
"02-2010","117"
"03-2010","68"
"04-2010","81"
"05-2010","62"
"06-2010","38"
"07-2010","53"
"08-2010","90"
"09-2010","139"
"10-2010","84"
"11-2010","29"
"12-2010","11"
"01-2011","43"
"02-2011","21"
"03-2011","34"
"04-2011","67"
"05-2011","37"
"06-2011","63"
"07-2011","32"
"08-2011","16"
"09-2011","46"
"10-2011","38"
"11-2011","84"
"12-2011","50"
"01-2012","13"
"02-2012","35"
"03-2012","19"
"04-2012","9"
"05-2012","30"
"06-2012","62"
"07-2012","9"
"08-2012","9"
"09-2012","17"
"10-2012","19"
"11-2012","12"
"12-2012","4"
"01-2013","17"
"02-2013","4"
"03-2013","52"
"04-2013","20"
"05-2013","32"
"06-2013","99"
"07-2013","47"
"08-2013","18"
"09-2013","31"
"10-2013","8"
"11-2013","38"
"12-2013","40"
"01-2014","58"
"02-2014","14"
"03-2014","39"
"04-2014","45"
"05-2014","31"
"06-2014","29"
"07-2014","18"
"08-2014","25"
"09-2014","4"
"10-2014","6"
"11-2014","3"
"12-2014","4"
"01-2015","2"
"02-2015","5"
"03-2015","32"
"04-2015","101"
"05-2015","13"
"06-2015","15"
"07-2015","10"
"08-2015","34"
"09-2015","3"
"10-2015","23"
"11-2015","32"
"12-2015","0"
"01-2016","2"
"02-2016","0"
"03-2016","70"
"04-2016","64"
"05-2016","16"
"06-2016","85"
"07-2016","0"
"08-2016","8"
"09-2016","8"
"10-2016","10"
"11-2016","0"
"12-2016","2"
"01-2017","9"
"02-2017","34"
"03-2017","48"
"04-2017","48"
"05-2017","30"
"06-2017","9"
"07-2017","21"
"08-2017","7"
"09-2017","4"
"10-2017","0"
"11-2017","24"
"12-2017","20"
"01-2018","0"
"02-2018","0"
"03-2018","0"
"04-2018","0"
"05-2018","1"
"06-2018","45"
"07-2018","1"
"08-2018","0"
"09-2018","3"
"10-2018","0"
"11-2018","0"
"12-2018","0"
"01-2019","36"
"02-2019","5"
"03-2019","16"
"04-2019","3"
"05-2019","47"
"06-2019","41"
"07-2019","2"
"08-2019","4"
"09-2019","21"
"10-2019","50"
"11-2019","77"
"12-2019","27"
"01-2020","44"
"02-2020","12"
"03-2020","0"
"04-2020","3"
"05-2020","0"
"06-2020","27"
"07-2020","16"
"08-2020","7"
"09-2020","1"
"10-2020","27"
